Average Taxable Income $,Gender Rank,Gender,Individuals,Number of Records,Occupation
"$29,969",952,Female,697,1,Seafood process worker
"$29,887",953,Female,50,1,Sculptor
"$29,865",954,Female,502,1,Drover – other livestock; Farm hand – other livestock; Jackeroo – other livestock; Jillaroo – other livestock; Stationhand – other livestock
"$29,842",955,Female,260,1,Apprentice or trainee – automotive mechanic
"$29,682",956,Female,16399,1,Beautician; Beauty therapist; Manicurist
"$29,649",957,Female,19884,1,Retail assistant – personal and household goods; Sales representative – personal and household goods; Salesperson – personal and household goods
"$29,603",958,Female,40,1,Apprentice or trainee – agricultural technician
"$29,598",959,Female,3437,1,Cloth cutter; Clothing factory hand or labourer; Fabric factory hand or labourer; Textile factory hand or labourer
"$29,453",960,Female,3041,1,Integration aide (schools)
"$29,333",961,Female,127,1,"Floor tiler – ceramic, slate or clay; Tiler; Wall tiler"
"$29,254",962,Female,794,1,Chocolate packer
"$29,229",963,Female,419,1,Weight loss consultant
"$29,167",964,Female,6,1,Apprentice or trainee – greenkeeper
"$29,162",965,Female,62281,1,Cleaner – Commercial; Cleaner – hotel or motel; Office cleaner; School cleaner
"$29,161",966,Female,392,1,Apprentice or trainee – veterinary nurse
"$29,145",967,Female,179,1,Diving instructor (open water)
"$29,114",968,Female,87,1,Brick handler – brickworks; Kiln hand or labourer
"$29,046",969,Female,218,1,Forestry labourer; Logging worker – forestry
"$29,029",970,Female,4639,1,Kindergarten assistant; Pre-school aide
"$28,797",971,Female,42664,1,Program seller; Retail assistant – other; Salesperson – other; Shop assistant – other
"$28,766",972,Female,57,1,Apprentice or trainee – gardener
"$28,753",973,Female,242,1,Handyperson
"$28,702",974,Female,988,1,Garden labourer; Lawn mower
"$28,698",975,Female,3253,1,Decorator – floral; Florist
"$28,660",976,Female,96,1,Bookmaker’s clerk
"$28,616",977,Female,661,1,Fruit or nut grower; Market gardener – fruit
"$28,517",978,Female,1220,1,Model
"$28,444",979,Female,301,1,Apprentice or trainee – care and community services
"$28,402",980,Female,4469,1,Child minder; Governess – child care; Nanny
"$28,390",981,Female,80,1,Potter or ceramic artist
"$28,364",982,Female,787,1,Mushroom picker
"$28,329",983,Female,814,1,Drover – mixed livestock; Jackeroo – mixed livestock; Jillaroo – mixed livestock; Livestock farm worker – mixed livestock; Stationhand – mixed livestock
"$28,263",984,Female,702,1,Office trainee Other clerical and
"$28,219",985,Female,515,1,Apprentice or trainee – baker or pastrycook
"$28,208",986,Female,318,1,Vending machine attendant
"$28,026",987,Female,13,1,Windscreen fitter
"$28,024",988,Female,5,1,Model maker – metal
"$28,010",989,Female,54,1,Apprentice or trainee – plumber
"$27,979",990,Female,191711,1,Bottle shop attendant; Cinema attendant – selling food or drink; Cosmetician; Deli assistant; Post office clerk; Retail assistant – general; Retail trainee; Salesperson – general; Shop assistant – gen
"$27,884",991,Female,4439,1,Child care worker – out of school hours care
"$27,852",992,Female,584,1,Outdoor adventure instructor
"$27,850",993,Female,1302,1,Bar useful or busser
"$27,807",994,Female,4838,1,Electoral officer; Forms designer; Knowledge manager; Lobbyist; Museum registrar
"$27,780",995,Female,17820,1,Housekeeper – commercial
"$27,737",996,Female,6706,1,Bakery assistant; Pastry cook’s assistant
"$27,707",997,Female,71,1,Fence erector
"$27,564",998,Female,2337,1,Apprentice or trainee – chef
"$27,458",999,Female,2286,1,Stable hand; Strapper
"$27,450",1000,Female,33993,1,Bartender
"$27,382",1001,Female,88,1,Window cleaner
"$27,324",1002,Female,319,1,Seafood packer
"$27,282",1003,Female,644,1,Livestock and mixed crop farm worker
"$27,256",1004,Female,393,1,"Grain, oilseed or pasture farm worker"
"$27,180",1005,Female,2406,1,Fruit and vegetable factory worker
"$27,108",1006,Female,1878,1,Market research interviewer
"$26,789",1007,Female,257,1,Ironer or presser – laundry
"$26,550",1008,Female,176,1,Shearer
"$26,523",1009,Female,129,1,Apprentice or trainee – carpenter and joiner
"$26,508",1010,Female,4,1,Apprentice or trainee – boat builder or shipwright
"$26,498",1011,Female,5049,1,Call centre operator – outbound calls or telemarketer; Contact centre operator – outbound calls or telemarketer; Telemarketer
"$26,433",1012,Female,18,1,Stonemason
"$26,388",1013,Female,361,1,Boarding kennel or cattery operator
"$26,346",1014,Female,2027,1,Beef cattle farm worker; Drover – beef cattle; Jackeroo – beef cattle; Jillaroo – beef cattle; Stationhand – beef cattle
"$26,344",1015,Female,10,1,Apprentice or trainee – clothing tradesperson
"$26,331",1016,Female,4368,1,Chaplain; Clergy – member of; Imam; Minister of religion; Missionary; Monk; Priest; Rabbi; Religious leader
"$26,314",1017,Female,88,1,Outdoor adventure guide – other
"$26,170",1018,Female,32,1,Logging assistant; Saw operator – chainsaw
"$26,162",1019,Female,548,1,Baggage handler – hotel or motel; Door attendant; Luggage porter
"$26,159",1020,Female,80,1,Apprentice or trainee – painter
"$26,126",1021,Female,1842,1,Dairy farm employee; Drover – dairy cattle; Jackeroo – dairy cattle; Jillaroo – dairy cattle; Stationhand – dairy cattle
"$26,049",1022,Female,7906,1,University tutor
"$25,994",1023,Female,900,1,Farm machinery operator; Harvester operator – agricultural; Tractor operator
"$25,958",1024,Female,74,1,Escort service; Prostitute; Sex worker
"$25,939",1025,Female,286,1,Ski instructor
"$25,890",1026,Female,343,1,Carpet cleaner
"$25,854",1027,Female,191,1,Cab driver; Taxi driver
"$25,721",1028,Female,7,1,Fitter-welder
"$25,546",1029,Female,774,1,Pet groomer
"$25,475",1030,Female,58,1,Apprentice or trainee – storeperson
"$25,447",1031,Female,44,1,Civil celebrant
"$25,404",1032,Female,45671,1,Dishwasher; Kitchen hand; Sandwich hand
"$25,274",1033,Female,18,1,Apprentice or trainee – wood tradesperson
"$25,208",1034,Female,1146,1,Vineyard worker
"$25,124",1035,Female,50,1,Street vendor
"$25,120",1036,Female,320,1,Herbalist; Masseur or masseuse – other
"$25,116",1037,Female,463,1,Apprentice or trainee – cleaning services
"$25,066",1038,Female,279,1,Apprentice or trainee – beauty therapist
"$24,978",1039,Female,283,1,Painter – visual arts
"$24,967",1040,Female,132,1,Apprentice or trainee – cook
"$24,862",1041,Female,5057,1,Housekeeper – domestic
"$24,798",1042,Female,3960,1,"Massage therapist; Masseur or masseuse – therapeutic, remedial; Myotherapist"
"$24,747",1043,Female,9105,1,Cleaner – domestic
"$24,723",1044,Female,143,1,Flower grower
"$24,688",1045,Female,39653,1,Checkout operator; Console operator – service station
"$24,677",1046,Female,12,1,Cement renderer; Concrete plasterer
"$24,608",1047,Female,6462,1,Night filler; Shelf filler
"$24,554",1048,Female,8347,1,Swimming instructor
"$24,509",1049,Female,340,1,Horse riding coach or instructor
"$24,403",1050,Female,3,1,Whitewater rafting guide
"$24,334",1051,Female,2568,1,Lifeguard; Swimming pool attendant – lifeguard
"$24,300",1052,Female,24,1,Trolley collector
"$24,169",1053,Female,579,1,Apprentice or trainee – business services
"$24,077",1054,Female,65,1,"Apprentice or trainee – food, drink or meat processor"
"$23,886",1055,Female,500,1,Aquaculture worker
"$23,851",1056,Female,6028,1,Farm hand – other; Weed controller
"$23,792",1057,Female,411,1,Lay preacher; Religious assistant
"$23,699",1058,Female,14,1,Bricklayer
"$23,521",1059,Female,1314,1,Gymnastics coach or instructor
"$23,445",1060,Female,272,1,Apprentice or trainee – hospitality
"$23,326",1061,Female,3589,1,Apprentice or trainee – hair dresser
"$23,241",1062,Female,23016,1,Café worker; Cafeteria worker; Canteen assistant; Snack bar assistant
"$23,240",1063,Female,15588,1,Barista
"$23,085",1064,Female,2893,1,Beauty salon assistant; Hair salon assistant
"$23,007",1065,Female,50688,1,Cashier; Casino worker – cashier or cage supervisor
"$22,983",1066,Female,127,1,Apprentice or trainee – florist
"$22,943",1067,Female,40,1,Apprentice or trainee – nurseryperson
"$22,837",1068,Female,398,1,Drover – sheep; Jackeroo – sheep; Jillaroo – sheep; Sheep farm worker; Stationhand – sheep
"$22,799",1069,Female,25,1,Trekking guide
"$22,728",1070,Female,5780,1,Fruit and vegetable packer
"$22,160",1071,Female,14,1,Cane furniture maker; Cooper; Model maker – wood; Wood carver
"$22,122",1072,Female,1452,1,Vegetable farm worker
"$22,071",1073,Female,618,1,Cane cutter
"$21,810",1074,Female,21,1,Apprentice or trainee – stablehand
"$21,709",1075,Female,78294,1,Drink waiter; Host – dining room; Steward – food and beverage; Waiter; Waitress
"$21,706",1076,Female,247,1,Door-to-door salesperson
"$21,565",1077,Female,29,1,Apprentice or trainee – farm or garden worker
"$21,369",1078,Female,1301,1,Shearing shed hand; Wool handler
"$21,080",1079,Female,1082,1,Cinema attendant – ushering; Railway employee – ticket collector; Theatre attendant – ushering; Ticket collector; Usher
"$20,842",1080,Female,20,1,Bed and breakfast owner operator
"$20,575",1081,Female,10344,1,Fast food cook; Fish and chip cook; Hamburger cook or maker; Pizza chef or maker; Short order cook
"$20,434",1082,Female,1000,1,Vegetable picker
"$19,743",1083,Female,11,1,Farrier
"$19,735",1084,Female,24,1,Bicycle mechanic
"$19,704",1085,Female,3546,1,Fruit or nut farm worker
"$19,671",1086,Female,9,1,Apprentice or trainee – shearer
"$19,542",1087,Female,7,1,Apprentice or trainee – tiler
"$19,389",1088,Female,203,1,Referee; Umpire – sports
"$17,983",1089,Female,114,1,Apprentice or trainee – sport and recreation
"$17,357",1090,Female,1611,1,Crossing supervisor; Crosswalk attendant
"$16,620",1091,Female,278,1,Leaflet or newspaper deliverer
"$13,817",1092,Female,5409,1,Fruit or nut picker
"$13,307",1093,Female,3,1,Deer farmer or farm overseer
"$577,674",1,Male,142,1,Neurosurgeon
"$552,947",2,Male,423,1,Ophthalmologist
"$453,253",3,Male,651,1,Cardiologist
"$448,530",4,Male,237,1,Plastic and reconstructive surgeon
"$446,507",5,Male,641,1,Gynaecologist; Obstetrician
"$445,939",6,Male,85,1,Otorhinolaryngologist
"$439,629",7,Male,805,1,Orthopaedic surgeon
"$433,792",8,Male,254,1,Urologist
"$417,524",9,Male,99,1,Vascular surgeon
"$415,192",10,Male,294,1,Gastroenterologist
"$386,003",11,Male,1139,1,Diagnostic and interventional radiologist
"$383,880",12,Male,170,1,Dermatologist
"$381,323",13,Male,531,1,Judge – law
"$370,492",14,Male,2160,1,Anaesthetist
"$358,043",15,Male,134,1,Cardiothoracic surgeon
"$357,996",16,Male,1289,1,Surgeon – general
"$344,860",17,Male,1019,1,Specialist physicians – other
"$336,994",18,Male,239,1,Radiation oncologist
"$322,178",19,Male,200,1,Medical oncologist
"$320,452",20,Male,603,1,Securities and finance dealer
"$315,444",21,Male,102,1,Thoracic medicine specialist
"$315,114",22,Male,1023,1,Specialist physician – general medicine
"$308,033",23,Male,327,1,Intensive care specialist
"$298,681",24,Male,96,1,Renal medicine specialist
"$298,543",25,Male,221,1,Neurologist
"$288,790",26,Male,1900,1,Financial investment manager
"$286,530",27,Male,503,1,Investment broker
"$282,508",28,Male,64,1,Paediatric surgeon
"$271,738",29,Male,141,1,Clinical haematologist
"$264,830",30,Male,281,1,Futures trader
"$258,972",31,Male,125,1,Endocrinologist
"$257,527",32,Male,211,1,Cricketer
"$256,933",33,Male,85,1,Rheumatologist
"$253,442",34,Male,548,1,Dental specialist
"$246,737",35,Male,341,1,Magistrate
"$245,826",36,Male,1032,1,Equities analyst; Investment dealer
"$239,405",37,Male,683,1,Paediatrician
"$238,192",38,Male,2219,1,Stock exchange dealer; Stockbroker
"$234,557",39,Male,1485,1,Psychiatrist
"$232,595",40,Male,829,1,Emergency medicine specialist
"$232,093",41,Male,600,1,Member of parliament
"$224,378",42,Male,808,1,Pathologist
"$218,432",43,Male,1088,1,Company secretary – corporate governance
"$212,652",44,Male,13,1,State governor
"$196,144",45,Male,1208,1,Actuary
"$187,468",46,Male,10652,1,Doctor – medical practitioner – other; Occupational medicine specialist; Public health physician; Sports physician
"$185,808",47,Male,2027,1,Petroleum engineer
"$184,639",48,Male,11178,1,General medical practitioner
"$181,849",49,Male,111813,1,Chief executive officer; Executive director; Managing director; Public servant – secretary or deputy secretary
"$179,439",50,Male,4269,1,Mining production manager
"$179,156",51,Male,1313,1,Funds administrator; Stockbroking clerk
"$169,818",52,Male,441,1,Consultant – mining engineer
"$168,766",53,Male,797,1,Barrister
"$168,659",54,Male,6571,1,Mining engineer
"$165,178",55,Male,2490,1,Corporate treasurer; Financial risk analyst; Financial risk manager
"$164,930",56,Male,1173,1,Geophysicist
"$162,904",57,Male,18321,1,Finance manager; Financial controller
"$154,741",58,Male,8908,1,Mine deputy; Mine supervisor
"$151,599",59,Male,1737,1,Consultant – financial investment
"$151,095",60,Male,12166,1,Bank manager; Financial institution branch manager
"$150,325",61,Male,25389,1,Engineering manager
"$148,478",62,Male,2371,1,Economist
"$146,865",63,Male,4134,1,Dentist
"$143,760",64,Male,1645,1,Metallurgist
"$141,581",65,Male,1552,1,Air traffic controller; Flight service officer – air traffic control
"$141,419",66,Male,149,1,Tribunal member
"$141,307",67,Male,7123,1,Geologist
"$138,379",68,Male,20854,1,Lawyer; Solicitor
"$136,457",69,Male,743,1,Commodities broker
"$136,365",70,Male,321,1,Newsreader – television; Television announcer; Television presenter
"$133,526",71,Male,8281,1,Aeroplane pilot
"$133,306",72,Male,491,1,Consultant – civil engineer
"$133,263",73,Male,1296,1,Marine navigator; Ship’s officer
"$131,704",74,Male,3008,1,Power generation plant operator
"$130,555",75,Male,7120,1,Human resource manager; Industrial relations manager; Personnel and industrial relations manager
"$130,533",76,Male,18891,1,Engineer – other professional
"$130,277",77,Male,11557,1,Consultant – management
"$128,670",78,Male,2776,1,Ship’s captain or master
"$128,289",79,Male,4751,1,Chemical engineer
"$127,694",80,Male,5457,1,Chief information officer; IT professional – chief information officer
"$127,420",81,Male,3689,1,Gas or petroleum plant operator
"$127,098",82,Male,4683,1,Marine engineer
"$127,050",83,Male,3587,1,IT business development manager
"$125,469",84,Male,3761,1,Insurance broker
"$124,455",85,Male,289,1,Consultant – medical
"$123,921",86,Male,17915,1,Policy and planning manager; Public policy manager; Public servant – executive level 1 or 2; Public servant – first assitant secretary or secretary; Public servant – senior agency executive; Public se
"$123,449",87,Male,5299,1,Corporate services manager
"$122,695",88,Male,136047,1,Corporate general manager
"$122,006",89,Male,2577,1,Wholesaling company director; Wholesaler
"$121,031",90,Male,25389,1,IT manager – other
"$120,624",91,Male,270,1,Faculty head; Head of school – TAFE
"$119,385",92,Male,1603,1,Commissioned policy officer; Police inspector
"$118,777",93,Male,167,1,Consultant – medical and pharmaceutical products sales representative
"$118,596",94,Male,335,1,Naval architect
"$118,494",95,Male,2981,1,Consultant – engineering Consultant – other
"$118,162",96,Male,36613,1,Coal miner; Miner; Mining technician; Opal miner; Prospector
"$118,157",97,Male,6388,1,Air force senior officer; Army senior officer; Defence force personnel – senior officer; Navy senior officer; RAAF senior officer
"$118,032",98,Male,16053,1,IT project manager; Data processing manager
"$115,908",99,Male,46486,1,Accounting practice manager; Architectural practice manager; Legal practice manager; Manager – other practice; Veterinary practice manager
"$115,275",100,Male,29314,1,Civil engineer
"$115,110",101,Male,11122,1,Financial adviser; Financial planner
"$114,264",102,Male,342,1,Consultant – electrical engineer
"$113,971",103,Male,963,1,Apprentice or trainee – real estate representative
"$113,716",104,Male,3125,1,IT account manager
"$113,366",105,Male,3467,1,Quantity surveyor
"$113,072",106,Male,199,1,Program director – television or radio
"$112,586",107,Male,21488,1,Electrical engineer
"$111,068",108,Male,2814,1,Footballer; Soccer player
"$111,025",109,Male,630,1,Marine engineer surveyor
"$110,835",110,Male,1170,1,Train controller
"$110,559",111,Male,2437,1,Real estate agency manager
"$110,479",112,Male,5667,1,School principal
"$109,866",113,Male,9073,1,Drilling plant operator; Oil rig worker – driller
"$109,728",114,Male,10916,1,Consultant – IT business analyst Apprentice or trainee
"$109,670",115,Male,948,1,Consultant – construction manager
"$109,565",116,Male,294,1,Insurance risk surveyor
"$109,236",117,Male,2803,1,Mining blasting worker; Powder monkey; Shot firer
"$109,113",118,Male,9868,1,Manufacturing company manager; Publishing director
"$108,514",119,Male,222,1,TAFE registrar; University registrar
"$108,329",120,Male,478,1,Sonographer
"$108,327",121,Male,224,1,Nursing clinical director
"$108,049",122,Male,6713,1,Occupational health and safety adviser
"$107,575",123,Male,4173,1,Structural engineer
"$107,560",124,Male,4967,1,Research and development manager
"$107,488",125,Male,484,1,Marine certification and surveillance manager; Marine safety officer; Ship’s purser
"$107,162",126,Male,1462,1,Helicopter pilot
"$107,114",127,Male,23280,1,Professor; University lecturer
"$106,848",128,Male,590,1,Meteorologist
"$106,796",129,Male,38985,1,Construction project manager; Building and contruction manager
"$106,728",130,Male,10316,1,Fireperson – railway or locomotive; Locomotive driver; Train driver
"$105,900",131,Male,1879,1,Geotechnical engineer
"$105,811",132,Male,1655,1,Optometrist
"$105,473",133,Male,1042,1,Statistician
"$105,332",134,Male,8579,1,Computing systems analyst; Methods analyst – computing
"$105,157",135,Male,293,1,Industrial pharmacist
"$105,107",136,Male,77112,1,Accountant; Bank accountant; Chartered accountant; Financial analyst
"$105,099",137,Male,2143,1,Medical physicist; Physicist
"$104,294",138,Male,2476,1,IT security specialist
"$104,132",139,Male,2614,1,Advertising director; Advertising manager
"$103,979",140,Male,3029,1,Environmental manager
"$103,899",141,Male,711,1,Regional education manager
"$103,886",142,Male,192,1,Consultant – chemical or material engineer
"$103,710",143,Male,1028,1,Public relations manager
"$103,613",144,Male,14404,1,Rigger – construction
"$103,242",145,Male,96600,1,Sales and marketing manager; Marketing manager; Sales director or manager
"$103,201",146,Male,219,1,Consultant – urban and regional planner
"$102,644",147,Male,10008,1,Crane operator; Hoist operator; Lift operator; Oil rig worker – operating crane
"$102,563",148,Male,2133,1,Management accountant
"$101,812",149,Male,3615,1,Valuer
"$101,753",150,Male,28026,1,Mechanical engineer
"$100,964",151,Male,1634,1,Air safety inspector or investigator; Aircraft navigator; Airways surveyor; Airworthiness surveyor; Aviation safety inspector; Flight engineer
"$100,759",152,Male,2502,1,Industrial engineer
"$100,716",153,Male,161,1,Consultant – electronics engineer
"$100,712",154,Male,247,1,Patents examiner
"$100,648",155,Male,1416,1,Materials engineer
"$100,477",156,Male,18002,1,Business analyst
"$100,464",157,Male,1088,1,Consultant – occupational health and safety
"$100,355",158,Male,307,1,Dredge operator
"$100,147",159,Male,652,1,Television journalist
"$99,961",160,Male,6892,1,Fire safety officer; Safety inspector
"$99,377",161,Male,4828,1,Analyst programmer
"$99,337",162,Male,1564,1,Transport engineer
"$99,246",163,Male,3520,1,Telecommunications engineer
"$99,222",164,Male,281,1,Consultant – industrial or mechanical engineer
"$99,207",165,Male,2280,1,Aeronautical engineer
"$99,128",166,Male,1724,1,Computing professional – other support technicians
"$99,118",167,Male,661,1,Railway signal operator
"$98,998",168,Male,2846,1,Company rep. – medical and pharmaceutical products; Sales representative – medical and pharmaceutical products
"$98,938",169,Male,376,1,Consultant – public relations professional
"$98,869",170,Male,5824,1,Driller’s assistant
"$98,668",171,Male,1746,1,Telecommunications network engineer
"$98,558",172,Male,2220,1,Internal auditor
"$98,184",173,Male,3273,1,Finance broker
"$97,952",174,Male,1220,1,Railway station manager
"$97,844",175,Male,574,1,Commissioner fire officer; Fire investigator
"$97,761",176,Male,360,1,Primary health organisation manager
"$97,740",177,Male,288,1,Pressure welder
"$97,671",178,Male,4260,1,Environmental scientist
"$97,433",179,Male,10607,1,Supply and distribution manager
"$97,404",180,Male,3464,1,Detective – police
"$97,113",181,Male,2497,1,Engineering technologist
"$97,030",182,Male,225,1,Organisational psychologist
"$96,812",183,Male,21425,1,"Bank employee; Bank officer; Bank teller; Business development officer – bank, etc.; Credit union employee"
"$96,527",184,Male,1881,1,Environmental engineer
"$96,477",185,Male,8741,1,Surveyor
"$96,343",186,Male,5788,1,Production or plant engineer
"$96,285",187,Male,2894,1,Veterinarian
"$96,173",188,Male,2906,1,Aircraft maintenance engineer – avionics
"$96,149",189,Male,10687,1,Computer network and systems engineer
"$95,725",190,Male,5237,1,Town planner; Urban and regional planner
"$95,652",191,Male,1087,1,Metallurgical and materials technician
"$95,527",192,Male,1445,1,Buyer – retail goods; Company rep. – retail buying
"$94,896",193,Male,4964,1,Chemical plant operator; Paint maker
"$94,793",194,Male,10019,1,Electrical lines worker
"$94,742",195,Male,11207,1,IT business analyst
"$94,739",196,Male,35474,1,Fitter
"$94,463",197,Male,19067,1,Building construction supervisor
"$94,159",198,Male,6539,1,Electronics engineer
"$94,104",199,Male,693,1,Health practice manager
"$94,064",200,Male,2751,1,Policy adviser or analyst
"$93,837",201,Male,6488,1,Aircraft maintenance engineer – mechanical
"$93,711",202,Male,3542,1,Radiographer
"$93,665",203,Male,1312,1,Emergency service worker
"$93,644",204,Male,5584,1,IT sales representative
"$93,632",205,Male,1304,1,Railway track plant operator
"$93,411",206,Male,23875,1,Applications programmer; Computer programmer; Developer programmer; Systems programmer – computing
"$93,378",207,Male,373,1,Tax investigator
"$93,319",208,Male,488,1,Mathematician
"$93,186",209,Male,14089,1,Computer systems administrator
"$92,500",210,Male,6708,1,Real estate property manager
"$92,471",211,Male,4955,1,Contract administrator
"$92,395",212,Male,447,1,Telecommunications network planner
"$92,136",213,Male,12,1,Swimmer
"$91,877",214,Male,547,1,Audiologist
"$91,698",215,Male,9666,1,Mining labourer
"$91,383",216,Male,396,1,Train examiner
"$91,080",217,Male,2639,1,IT network analyst
"$90,356",218,Male,3280,1,Art director – publishing or advertising; Producer – media
"$90,332",219,Male,28921,1,Software engineer
"$89,991",220,Male,6374,1,Quality assurance manager
"$89,916",221,Male,299,1,Soil scientist
"$89,750",222,Male,8451,1,Electrical engineering technician; Electrical tester; Electronics tester
"$89,706",223,Male,286,1,"Articled clerk; Coroner; Court registrar – Court of Appeals; Court registrar – Federal, Supreme or Family Courts; Judicial registrar"
"$89,674",224,Male,6594,1,Air force senior non-commissioned officer; Army senior non-commissioner officer; Defrence force personnel – senior non-commissioned officer; Navy senior non-commissioned officer; RAAF senior non-commi
"$89,605",225,Male,326,1,Insurance loss adjuster
"$89,590",226,Male,1501,1,Lift mechanic
"$89,093",227,Male,2271,1,Customs investigator or officer
"$89,032",228,Male,1316,1,Industrial relations officer; Workplace relations adviser
"$88,790",229,Male,704,1,Marine biologist
"$88,770",230,Male,592,1,Health information manager
"$88,729",231,Male,10601,1,Architect
"$88,594",232,Male,256,1,Paper mill operator; Pulp mill operator
"$88,541",233,Male,6416,1,Stevedore; Waterside worker; Wharf labourer
"$88,468",234,Male,464,1,Marine steward; Railway employee – steward
"$88,237",235,Male,4762,1,Bulk materials handling plant operator
"$88,200",236,Male,1121,1,IT quality assurance engineer
"$88,121",237,Male,8338,1,Boatswain; Deckhand; Merchant seaman; Sailor; Seafarer
"$88,081",238,Male,265,1,Intelligence officer
"$88,045",239,Male,10983,1,Real estate agent
"$87,941",240,Male,4422,1,Telecommunications technical officer
"$87,844",241,Male,10161,1,Maintenance planner
"$87,740",242,Male,98555,1,Electrical appliance servicer; Electrical fitter; Electrical mechanic; Electrician – general; Mechanic – electrical; Repairer – electrical appliances; Servicer – electrical appliances
"$87,628",243,Male,4869,1,Chemist – industrial or research
"$87,490",244,Male,3852,1,Fraud investigator; Inspector – other regulatory; Investigator – other government
"$87,217",245,Male,2776,1,Database administrator
"$87,027",246,Male,2926,1,Health and welfare service manager – other
"$86,995",247,Male,3496,1,Resident medical officer
"$86,974",248,Male,978,1,Biochemist
"$86,742",249,Male,955,1,Film director; Radio director; Stage director; Television director
"$86,581",250,Male,770,1,Forestry production manager
"$86,556",251,Male,5475,1,Mechanical engineering technician or associate
"$86,518",252,Male,3351,1,Agricultural scientist; Agronomist
"$86,274",253,Male,109,1,Orthoptist
"$86,240",254,Male,1423,1,Consultant – human resources
"$86,047",255,Male,5840,1,Pharmacist – retail
"$85,803",256,Male,173,1,Betting agency manager
"$85,653",257,Male,107,1,Biophysicist
"$85,641",258,Male,4982,1,Human resource officer; Personnel officer; Recruitment officer
"$85,567",259,Male,31434,1,Administrative service officer – levels 5–6; Program or project administrator; Public servant – administrative service officer – levels 5–6
"$85,506",260,Male,3953,1,Company rep. – insurance; Insurance agent or salesperson; Life assurance representative; Retail assistant – insurance; Sales assistant – insurance
"$85,451",261,Male,40211,1,Investigator – police; Police officer
"$85,444",262,Male,582,1,Auctioneer
"$85,204",263,Male,162,1,Trust officer
"$85,189",264,Male,1088,1,Associate editor; Newspaper editor; Periodical editor; Sub editor
"$84,844",265,Male,11449,1,Business development officer – marketing; Marketing specialist
"$84,698",266,Male,286,1,Electronic engineering draftsperson
"$84,566",267,Male,33474,1,Earthmoving plant operator – general
"$84,538",268,Male,398,1,Child care centre director
"$84,514",269,Male,2026,1,Laboratory manager
"$84,504",270,Male,261,1,Bookmaker
"$84,075",271,Male,2135,1,Civil engineering technician or associate
"$84,073",272,Male,34902,1,Motor mechanic – diesel
"$84,009",273,Male,339,1,Consultant – security
"$83,954",274,Male,706,1,Nursing supervisor or manager
"$83,826",275,Male,5589,1,Facilities manager
"$83,778",276,Male,3953,1,Medical laboratory scientist
"$83,431",277,Male,779,1,Health inspector
"$83,341",278,Male,224,1,Nuclear medicine technologist
"$83,239",279,Male,632,1,Telecommunications field engineer
"$83,117",280,Male,302,1,Wool buyer
"$83,062",281,Male,1357,1,Aircraft draftsperson; Biomedical engineering technician or associate; Chemical engineering technician; Mining draftsperson; Shipbuilding draftsperson
"$83,056",282,Male,4224,1,Communications officer – public relations; Media officer; Public relations officer
"$82,890",283,Male,1379,1,Diver (open water)
"$82,821",284,Male,1020,1,Tanker driver
"$82,678",285,Male,2169,1,Customs agent; Import-export clerk
"$82,412",286,Male,824,1,Aircraft maintenance engineer – structures
"$82,399",287,Male,1019,1,Clinical psychologist
"$82,301",288,Male,1330,1,Electrical engineering draftsperson
"$82,273",289,Male,350,1,Cardiac technician
"$82,057",290,Male,4164,1,Electronic instrument fitter or technician
"$82,046",291,Male,3083,1,Newspaper journalist; Print journalist
"$82,022",292,Male,712,1,Geographic information systems manager; Spatial scientist – other
"$81,869",293,Male,9519,1,Staff development officer; Training officer
"$81,826",294,Male,554,1,Cement production plant operator
"$81,765",295,Male,13798,1,Fire brigade officer; Fire fighter; Fire risk assessor
"$81,652",296,Male,23589,1,Fitter and turner
"$81,501",297,Male,2031,1,Railway employee – guard; Railway employee – station assistant
"$81,466",298,Male,509,1,Biotechnologist
"$81,170",299,Male,1865,1,Market research analyst
"$81,101",300,Male,5727,1,Environmental adviser; Environmental auditor; Environmental consultant; Environmental officer
"$81,086",301,Male,2721,1,Fleet manager
"$81,041",302,Male,13,1,Boxer – sports
"$80,852",303,Male,972,1,Travel agency manager
"$80,842",304,Male,764,1,Cartographer
"$80,818",305,Male,1025,1,Consultant – environmental
"$80,441",306,Male,2896,1,IT systems test engineer
"$80,387",307,Male,1339,1,Medical administrator
"$80,378",308,Male,5195,1,Railway track worker
"$80,112",309,Male,3303,1,Change management facilitator; Industry analyst; Quality auditor; Skills auditor
"$79,982",310,Male,1805,1,Tax agent or consultant
"$79,976",311,Male,4039,1,Construction estimator
"$79,748",312,Male,260,1,Artistic director
"$79,727",313,Male,1392,1,Ecologist – forestry; Forest ranger; Forester – scientist
"$79,711",314,Male,9730,1,Ambulance officer; Paramedic
"$79,707",315,Male,322,1,Educational psychologist
"$79,502",316,Male,2683,1,Building inspector
"$79,447",317,Male,58,1,Racing car driver
"$79,397",318,Male,1285,1,Consultant – marketing specialist
"$79,188",319,Male,11615,1,Scaffolder
"$79,081",320,Male,1872,1,Counselling psychologist; Psychologist – other; Sports psychologist
"$78,908",321,Male,1338,1,Wine maker
"$78,897",322,Male,4880,1,Recruitment consultant
"$78,867",323,Male,653,1,Microbiologist
"$78,712",324,Male,1673,1,Compliance officer – quarantine; Quarantine inspector
